-2,6,17.3
2,-3,17.3
-2,4,17.3
-2,3,17.3
3,-2,17.3
-1,1,17.3
0,-1,17.3
-1,3,17.3
-3,5,17.3
1,-1,17.3
-1,-5,17.3
-3,7,17.3
5,-2,17.3
-2,7,17.3
1,-1,17.3
2,-4,17.3
-4,8,17.3
4,-4,17.3
-7,11,17.3
4,-9,17.3
0,4,17.3
-1,5,17.3
2,-5,17.3
-3,9,17.3
1,-6,17.3
2,1,17.3
-1,5,17.3
6,-4,17.3
-4,4,17.3
1,-1,17.3
1,-1,17.3
-2,7,17.3
2,-1,17.3
-1,-1,17.3
-1,1,17.3
4,-3,17.3
-3,9,17.3
6,-7,17.3
-1,7,17.3
1,0,17.3
3,-1,17.3
0,3,17.3
3,-2,17.3
-1,5,17.3
0,0,17.3
2,-2,17.3
-2,5,17.3
2,-1,17.3
-1,1,17.3
-2,4,17.3
2,-3,17.3
-1,3,17.3
-1,2,17.3
2,-5,17.3
-3,6,17.3
3,-4,17.3
-3,2,17.3
0,1,17.3
-1,-2,17.3
-2,6,17.3
3,-7,17.3
-4,3,17.3
0,-1,17.3
1,-4,17.3
-2,2,17.3
0,-1,17.3
-2,-4,17.3
-3,5,17.3
-1,-6,17.3
-2,2,17.3
2,-4,17.3
-1,2,17.3
-4,4,17.3
1,-5,17.3
-4,8,17.3
2,-6,17.3
0,2,17.3
-2,0,17.3
1,0,17.3
-2,4,17.3
2,-3,17.3
-1,3,17.3
-1,1,17.3
4,-1,17.3
-1,3,17.3
0,-2,17.3
3,-4,17.3
-3,8,17.3
5,-6,17.3
-2,5,17.3
1,-1,17.3
2,-7,17.3
-4,6,17.3
6,-8,17.3
-4,7,17.3
2,-5,17.3
1,-1,17.3
1,0,17.3
-3,7,17.3
1,-3,17.3
0,-2,17.3
-1,3,17.3
2,-3,17.3
-1,5,17.3
1,-3,17.3
0,1,17.3
1,-2,17.3
-1,1,17.3
0,-1,17.3
-1,4,17.3
1,1,17.3
0,1,17.3
0,-2,17.3
0,0,17.3
-1,8,17.3
2,-4,17.3
-1,3,17.3
2,-4,17.3
1,4,17.3
0,3,17.3
2,0,17.3
-2,-2,17.3
1,-3,17.3
-2,5,17.3
3,2,17.3
1,-2,17.3
-2,-1,17.3
1,1,17.3
-1,2,17.3
0,1,17.3
0,3,17.3
-3,-2,17.3
0,-2,17.3
2,5,17.3
2,3,17.3
2,2,17.3
-1,-1,17.3
-1,1,17.3
3,-4,17.3
1,6,17.3
2,-2,17.3
0,-1,17.3
0,3,17.3
3,-2,17.3
0,6,17.3
3,-5,17.3
-2,3,17.3
0,-1,17.3
3,-1,17.3
-1,1,17.3
2,1,17.3
-1,-2,17.3
0,2,17.3
0,-1,17.3
-2,1,17.3
1,3,17.3
0,-3,17.3
-1,5,17.3
4,-6,17.3
-3,10,17.3
1,0,17.3
0,-2,17.3
-2,2,17.3
3,-2,17.3
-3,6,17.3
1,1,17.3
0,-3,17.3
-2,2,17.3
3,-3,17.3
-1,6,17.3
1,2,17.3
0,-3,17.3
-2,2,17.3
1,-4,17.3
-3,4,17.3
0,2,17.3
1,-2,17.3
-1,2,17.3
1,-2,17.3
-3,7,17.3
0,1,17.3
0,1,17.3
0,1,17.3
0,1,17.3
0,1,17.3
0,1,17.3
0,1,17.3
0,1,17.3
0,1,17.3
0,1,17.3
0,1,17.3
0,1,17.3
0,1,17.3
